"","BEL","BRA","CHI","CUB","EGY","FRA","IND","ISR","USA","USS","YUG","ZAI"
"BEL",0,5.58,7,7.08,4.83,2.17,6.42,3.42,2.5,6.08,5.25,4.75
"BRA",5.58,0,6.5,7,5.08,5.75,5,5.5,4.92,6.67,6.83,3
"CHI",7,6.5,0,3.83,8.17,6.67,5.58,6.42,6.25,4.25,4.5,6.08
"CUB",7.08,7,3.83,0,5.83,6.92,6,6.42,7.33,2.67,3.75,6.67
"EGY",4.83,5.08,8.17,5.83,0,4.92,4.67,5,4.5,6,5.75,5
"FRA",2.17,5.75,6.67,6.92,4.92,0,6.42,3.92,2.25,6.17,5.42,5.58
"IND",6.42,5,5.58,6,4.67,6.42,0,6.17,6.33,6.17,6.08,4.83
"ISR",3.42,5.5,6.42,6.42,5,3.92,6.17,0,2.75,6.92,5.83,6.17
"USA",2.5,4.92,6.25,7.33,4.5,2.25,6.33,2.75,0,6.17,6.67,5.67
"USS",6.08,6.67,4.25,2.67,6,6.17,6.17,6.92,6.17,0,3.67,6.5
"YUG",5.25,6.83,4.5,3.75,5.75,5.42,6.08,5.83,6.67,3.67,0,6.92
"ZAI",4.75,3,6.08,6.67,5,5.58,4.83,6.17,5.67,6.5,6.92,0
