numero,pergunta
Q1,Deixa as roupas mais brancas
Q2,É adequada para roupas coloridas
Q3,É a melhor para a remoção de manchas de gordura
Q4,Desinfeta melhor
Q5,É boa para limpar gordura
Q6,Deixa um aroma agradável na casa
Q7,É suave para as mãos
Q8,É adequada para a limpeza pesada
Q9,Deixa um aroma agradável nas roupas
Q10,É um produto para ser usado tanto na cozinha como no banheiro
Q11,Facilita a tarefa da dona de casa na limpeza da casa
Q12,Dá a melhor sensação de desinfecção
Q13,É a mais adequada para a lavagem de roupas
Q14,É fácil de enxaguar
Q15,"É boa para limpar pias, pisos e balcões"
Q16,Rende mais
Q17,Vale o preço que custa
Q18,Dispensa o uso de outros produtos
Q19,É a melhor marca de alvejante do mercado
Q20,É econômica no uso
Q21,Tem uma embalagem prática para uso nas roupas
Q22,É adequada tanto para a faxina como para a limpeza do dia a dia
Q23,É eficiente para desinfetar vasos sanitários e ralos
Q24,Tem um aroma adequado para ser usada na casa toda
Q25,Tem uma embalagem prática para uso na limpeza da casa
Q26,Não deixa um aroma forte e ruim nas mãos
Q27,Deixa um aroma agradável nos lugares onde foi usada
Q28,É eficiente na limpeza da casa toda
Q29,Deixa a casa com aroma de limpeza
